,date,Member type,Count
0,2018-01-01,casual,16999
1,2018-01-01,member,151591
2,2018-02-01,casual,21833
3,2018-02-01,member,160545
4,2018-03-01,casual,54219
5,2018-03-01,member,184779
6,2018-04-01,casual,89602
7,2018-04-01,member,239305
8,2018-05-01,casual,102303
9,2018-05-01,member,271812
10,2018-06-01,casual,103015
11,2018-06-01,member,289323
12,2018-07-01,casual,111472
13,2018-07-01,member,293289
14,2018-08-01,casual,95558
15,2018-08-01,member,308308
16,2018-09-01,casual,61331
17,2018-09-01,member,264469
18,2018-10-01,casual,53624
19,2018-10-01,member,289397
20,2018-11-01,casual,23177
21,2018-11-01,member,179199
22,2018-12-01,casual,16982
23,2018-12-01,member,160552
24,2019-01-01,casual,11337
25,2019-01-01,member,139443
26,2019-02-01,casual,13093
27,2019-02-01,member,145037
28,2019-03-01,casual,37154
29,2019-03-01,member,216657
30,2019-04-01,casual,61844
31,2019-04-01,member,286148
32,2019-05-01,casual,51625
33,2019-05-01,member,286079
34,2019-06-01,casual,54765
35,2019-06-01,member,295379
36,2019-07-01,casual,54491
37,2019-07-01,member,302154
38,2019-08-01,casual,51277
39,2019-08-01,member,308767
40,2019-09-01,casual,42979
41,2019-09-01,member,317246
42,2019-10-01,casual,34504
43,2019-10-01,member,303048
44,2019-11-01,casual,17053
45,2019-11-01,member,206459
46,2019-12-01,casual,11039
47,2019-12-01,member,150839
48,2020-01-01,casual,10654
49,2020-01-01,member,186315
50,2020-02-01,casual,10662
51,2020-02-01,member,167239
52,2020-03-01,casual,16607
53,2020-03-01,member,145923
54,2020-04-01,casual,26809
55,2020-04-01,member,48662
56,2020-05-01,casual,75546
57,2020-05-01,member,73505
58,2020-06-01,casual,116310
59,2020-06-01,member,97737
60,2020-07-01,casual,117737
61,2020-07-01,member,110610
62,2020-08-01,casual,127718
63,2020-08-01,member,123885
64,2020-09-01,casual,117455
65,2020-09-01,member,132444
66,2020-10-01,casual,99616
67,2020-10-01,member,130216
68,2020-11-01,casual,73931
69,2020-11-01,member,101504
70,2020-12-01,casual,36154
71,2020-12-01,member,69675
72,2021-01-01,casual,33387
73,2021-01-01,member,66683
74,2021-02-01,casual,23811
75,2021-02-01,member,53694
76,2021-03-01,casual,73917
77,2021-03-01,member,97248
78,2021-04-01,casual,98739
79,2021-04-01,member,118024
80,2021-05-01,casual,114030
81,2021-05-01,member,140147
82,2021-06-01,casual,123764
83,2021-06-01,member,151616
84,2021-07-01,casual,148157
85,2021-07-01,member,164269
86,2021-08-01,casual,116625
87,2021-08-01,member,155369
88,2021-09-01,casual,122669
89,2021-09-01,member,186528
90,2021-10-01,casual,127703
91,2021-10-01,member,200597
92,2021-11-01,casual,68458
93,2021-11-01,member,173599
94,2021-12-01,casual,65294
95,2021-12-01,member,125553
96,2022-01-01,casual,30778
97,2022-01-01,member,78841
98,2022-02-01,casual,47249
99,2022-02-01,member,107068
100,2022-03-01,casual,103092
101,2022-03-01,member,151158
102,2022-04-01,casual,139750
103,2022-04-01,member,170685
104,2022-05-01,casual,147621
105,2022-05-01,member,185200
106,2022-06-01,casual,179112
107,2022-06-01,member,210544
108,2022-07-01,casual,187741
109,2022-07-01,member,205942
110,2022-08-01,casual,165733
111,2022-08-01,member,211924
112,2022-09-01,casual,156590
113,2022-09-01,member,229495
114,2022-10-01,casual,128412
115,2022-10-01,member,204897
116,2022-11-01,casual,91386
117,2022-11-01,member,168331
118,2022-12-01,casual,54213
119,2022-12-01,member,121020
