start_station_name,end_station_name,Latitude_x,Longitude_x,Latitude_y,Longitude_y
10th & E St NW,10th & E St NW,38.8961384,-77.0260002,38.8961384,-77.0260002
10th & G St NW,10th & E St NW,38.8983151,-77.0259896,38.8961384,-77.0260002
10th & K St NW,10th & E St NW,38.90253,-77.0259938,38.8961384,-77.0260002
10th & Monroe St NE,10th & E St NW,38.9324632,-76.9926274,38.8961384,-77.0260002
10th St & Constitution Ave NW,10th & E St NW,38.8921062,-77.0259036,38.8961384,-77.0260002
10th St & L'Enfant Plaza SW,10th & E St NW,38.8842094,-77.0253936,38.8961384,-77.0260002
11th & F St NW,10th & E St NW,38.8973435,-77.0270466,38.8961384,-77.0260002
11th & Girard St NW,10th & E St NW,38.925755,-77.02704,38.8961384,-77.0260002
11th & Kenyon St NW,10th & E St NW,38.929685,-77.0277483,38.8961384,-77.0260002
11th & M St NW,10th & E St NW,38.905637,-77.027041,38.8961384,-77.0260002
11th & O St NW,10th & E St NW,38.9085726,-77.0270402,38.8961384,-77.0260002
11th & Park Rd NW,10th & E St NW,38.931821,-77.02826,38.8961384,-77.0260002
11th & S St NW,10th & E St NW,38.9140948,-77.0270455,38.8961384,-77.0260002
12th & L St NW,10th & E St NW,38.9037322,-77.028088,38.8961384,-77.0260002
13th & D St NE,10th & E St NW,38.894777,-76.9883104,38.8961384,-77.0260002
13th St & New York Ave NW,10th & E St NW,38.9002912,-77.0295883,38.8961384,-77.0260002
14th & Belmont St NW,10th & E St NW,38.921086,-77.031873,38.8961384,-77.0260002
14th & D St NW / Ronald Reagan Building,10th & E St NW,38.8939166,-77.0307749,38.8961384,-77.0260002
14th & G St NW,10th & E St NW,38.8983306,-77.0319663,38.8961384,-77.0260002
14th & Girard St NW,10th & E St NW,38.925502,-77.032316,38.8961384,-77.0260002
14th & Harvard St NW,10th & E St NW,38.9265708,-77.0324139,38.8961384,-77.0260002
14th & L St NW,10th & E St NW,38.903746,-77.0319747,38.8961384,-77.0260002
14th & R St NW,10th & E St NW,38.9126061,-77.0319494,38.8961384,-77.0260002
14th & Rhode Island Ave NW,10th & E St NW,38.9088311,-77.0319575,38.8961384,-77.0260002
14th & V St NW,10th & E St NW,38.9181132,-77.0319544,38.8961384,-77.0260002
14th St & New York Ave NW,10th & E St NW,38.8993304,-77.0319713,38.8961384,-77.0260002
14th St & Spring Rd NW,10th & E St NW,38.9370752,-77.0327226,38.8961384,-77.0260002
15th & L St NW,10th & E St NW,38.9037458,-77.0345694,38.8961384,-77.0260002
15th & M St NW,10th & E St NW,38.9056496,-77.0345673,38.8961384,-77.0260002
15th & P St NW,10th & E St NW,38.9096682,-77.0345588,38.8961384,-77.0260002
15th & W St NW,10th & E St NW,38.9191619,-77.034716,38.8961384,-77.0260002
15th St & Constitution Ave NW,10th & E St NW,38.8921024,-77.0336424,38.8961384,-77.0260002
15th St & Massachusetts Ave SE,10th & E St NW,38.9065186,-77.0345597,38.8961384,-77.0260002
16th & Harvard St NW,10th & E St NW,38.9262792,-77.0364613,38.8961384,-77.0260002
16th & Irving St NW,10th & E St NW,38.9286821,-77.0364572,38.8961384,-77.0260002
16th & R St NW,10th & E St NW,38.9126037,-77.0365134,38.8961384,-77.0260002
17th & Corcoran St NW,10th & E St NW,38.9118701,-77.0384855,38.8961384,-77.0260002
17th & G St NW,10th & E St NW,38.8983186,-77.0394614,38.8961384,-77.0260002
17th & K St NW,10th & E St NW,38.9024024,-77.0395084,38.8961384,-77.0260002
17th St & Massachusetts Ave NW,10th & E St NW,38.9079341,-77.0385233,38.8961384,-77.0260002
18th & M St NW,10th & E St NW,38.9056568,-77.0416876,38.8961384,-77.0260002
18th & R St NW,10th & E St NW,38.9126074,-77.0416631,38.8961384,-77.0260002
18th St & Rhode Island Ave NE,10th & E St NW,38.9246899,-76.9854606,38.8961384,-77.0260002
18th St & Wyoming Ave NW,10th & E St NW,38.9187411,-77.0416565,38.8961384,-77.0260002
19th & East Capitol St SE,10th & E St NW,38.8897738,-76.977254,38.8961384,-77.0260002
19th & G St NW,10th & E St NW,38.898331,-77.0434727,38.8961384,-77.0260002
